Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Currency (Result),Total,Currency (Total),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee),French transaction tax,Currency (French transaction tax)
Deposit,2023-12-07 16:01:12,,,,"Transaction ID: CSM2PQQCXSRMMM52",8eecd7b0-b2b0-4265-b140-6e7e988d57a4,,,,,,1000.00,"CZK",,,,,,,,,,
Market buy,2023-12-07 16:32:23,US5949181045,MSFT,"Microsoft",,EOF7052990396,0.0032788000,369.2100000000,USD,0.04440813,"CZK",27.30,"CZK",,,,,,,0.04,"CZK",,
Market buy,2023-12-07 16:32:23,US7475251036,QCOM,"Qualcomm",,EOF7052990400,0.0168486000,131.7200000000,USD,0.04441259,"CZK",50.04,"CZK",,,,,,,0.07,"CZK",,
Market buy,2023-12-07 16:32:23,US57636Q1040,MA,"Mastercard",,EOF7052990404,0.0039101000,412.8700000000,USD,0.04441163,"CZK",36.40,"CZK",,,,,,,0.05,"CZK",,
Market buy,2023-12-07 16:32:23,US9311421039,WMT,"Walmart",,EOF7052990408,0.0092204000,153.1700000000,USD,0.04441159,"CZK",31.85,"CZK",,,,,,,0.05,"CZK",,
Market buy,2023-12-07 16:32:23,US64110L1061,NFLX,"Netflix",,EOF7052990412,0.0031328000,450.8000000000,USD,0.04441088,"CZK",31.85,"CZK",,,,,,,0.05,"CZK",,
Market buy,2023-12-07 16:32:26,US0420682058,ARM,"ARM",,EOF7052990416,0.0418540000,62.6700000000,USD,0.04441229,"CZK",59.15,"CZK",,,,,,,0.09,"CZK",,
Market buy,2023-12-07 16:33:02,US64104Y1064,NTOIY,"Neste",,EOF7052990801,0.0639510000,18.9300000000,USD,0.04440911,"CZK",27.30,"CZK",,,,,,,0.04,"CZK",,
Market buy,2023-12-07 16:33:02,US05606L1008,BYDDY,"BYD",,EOF7052990810,0.0588240000,54.8800000000,USD,0.04441135,"CZK",72.80,"CZK",,,,,,,0.11,"CZK",,
Currency conversion,2023-12-07 16:44:29,,,,"545.00 CZK -> 24.19 USD",IA0O8PUB78GHN43V,,,,,,-0.04,"USD",,,545.00,"CZK",24.19,"USD",-0.04,"USD",,
Market buy,2023-12-08 08:00:05,DE0006599905,MRK,"Merck",,EOF7102063513,0.0077418000,144.9000000000,EUR,0.04115138,"CZK",27.30,"CZK",,,,,,,0.04,"CZK",,
Market buy,2023-12-08 08:00:09,FR0000120644,BN,"Danone",,EOF7102063537,0.0221130000,59.0000000000,EUR,0.04115668,"CZK",31.75,"CZK",,,,,,,0.05,"CZK",,
Market buy,2023-12-08 08:00:15,NL0000235190,AIR,"Airbus",,EOF7102063635,0.0080171000,139.7000000000,EUR,0.04108543,"CZK",27.30,"CZK",,,,,,,0.04,"CZK",,
Market buy,2023-12-08 08:00:22,CH0012005267,NOVN,"Novartis",,EOF7102063739,0.0146500000,84.2400000000,CHF,0.03880867,"CZK",31.85,"CZK",,,,,,,0.05,"CZK",,
Interest on cash,2023-12-13 22:13:06,,,,"Interest on cash",6fe688ea-7a5d-40c8-b2da-8e1e1eadcfef,,,,,,0.01,"USD",,,,,,,,,,
Deposit,2023-12-15 08:30:09,,,,"Bank Transfer",ce11172d-fcad-4d29-8ff7-b7431475d237,,,,,,850.00,"CZK",,,,,,,,,,
Currency conversion,2023-12-15 08:47:08,,,,"850.00 CZK -> 38.17 USD",TAJA8U7PPQGS9CWC,,,,,,-0.06,"USD",,,850.00,"CZK",38.17,"USD",-0.06,"USD",,
Market buy,2023-12-15 14:30:00,US0420682058,ARM,"ARM",,EOF7402524134,0.1416410000,70.6000000000,USD,1.00000000,"USD",10.00,"USD",,,,,,,,,,
Interest on cash,2023-12-17 22:13:20,,,,"Interest on cash",dcd5a9f7-77a6-40e5-8f91-1c29257beb23,,,,,,0.01,"USD",,,,,,,,,,
Deposit,2023-12-18 12:33:38,,,,"Transaction ID: PZNT32BHNWHNWPG2",22058b3b-81a4-42e7-a3e3-15fdc90342d8,,,,,,500.00,"CZK",,,,,,,,,,
Market buy,2023-12-18 12:34:31,GB00B63H8491,RR,"Rolls-Royce",,EOF7550053103,1.0065987000,294.8000000000,GBX,3.51385786,"CZK",85.00,"CZK",0.42,"CZK",,,,,0.13,"CZK",,
