Action;Time;ISIN;Ticker;Name;ID;No. of shares;Price / share;Currency (Price / share);Exchange rate;Result;Currency (Result);Total;Currency (Total);Stamp duty reserve tax;Currency (Stamp duty reserve tax);Currency conversion fee;Currency (Currency conversion fee);French transaction tax;Currency (French transaction tax);;;
Market buy;07.12.2023;US5949181045;MSFT;Microsoft;EOF7052990396;0.0032788;369.21;USD;0.04440813;;CZK;27.3;CZK;;;0.04;CZK;;;;;
Market buy;07.12.2023;US7475251036;QCOM;Qualcomm;EOF7052990400;0.0168486;131.72;USD;0.04441259;;CZK;50.04;CZK;;;0.07;CZK;;;;;
Market buy;07.12.2023;US57636Q1040;MA;Mastercard;EOF7052990404;0.0039101;412.87;USD;0.04441163;;CZK;36.4;CZK;;;0.05;CZK;;;;;
Market buy;07.12.2023;US9311421039;WMT;Walmart;EOF7052990408;0.0092204;153.17;USD;0.04441159;;CZK;31.85;CZK;;;0.05;CZK;;;;;
Market buy;07.12.2023;US64110L1061;NFLX;Netflix;EOF7052990412;0.0031328;450.8;USD;0.04441088;;CZK;31.85;CZK;;;0.05;CZK;;;;;
Market buy;07.12.2023;US0420682058;ARM;ARM;EOF7052990416;0.041854;62.67;USD;0.04441229;;CZK;59.15;CZK;;;0.09;CZK;;;;;
Market buy;07.12.2023;US64104Y1064;NTOIY;Neste;EOF7052990801;0.063951;18.93;USD;0.04440911;;CZK;27.3;CZK;;;0.04;CZK;;;;;
Market buy;07.12.2023;US05606L1008;BYDDY;BYD;EOF7052990810;0.058824;54.88;USD;0.04441135;;CZK;72.8;CZK;;;0.11;CZK;;;;1;0.058824
Market buy;08.12.2023;DE0006599905;MRK;Merck;EOF7102063513;0.0077418;144.9;EUR;0.04115138;;CZK;27.3;CZK;;;0.04;CZK;;;;;
Market buy;08.12.2023;FR0000120644;BN;Danone;EOF7102063537;0.022113;59;EUR;0.04115668;;CZK;31.75;CZK;;;0.05;CZK;;;;;
Market buy;08.12.2023;NL0000235190;AIR;Airbus;EOF7102063635;0.0080171;139.7;EUR;0.04108543;;CZK;27.3;CZK;;;0.04;CZK;;;;;
Market buy;08.12.2023;CH0012005267;NOVN;Novartis;EOF7102063739;0.01465;84.24;CHF;0.03880867;;CZK;31.85;CZK;;;0.05;CZK;;;;;
Market buy;15.12.2023;US0420682058;ARM;ARM;EOF7402524134;0.141641;70.6;USD;1;;USD;10;USD;;;;;;;;;
Market buy;18.12.2023;GB00B63H8491;RR;Rolls-Royce;EOF7550053103;1.0065987;294.8;GBX;3.51385786;;CZK;85;CZK;0.42;CZK;0.13;CZK;;;;;
Market buy;18.12.2023;FR0000121329;HO;Thales;EOF7550053488;0.0226425;135.55;EUR;0.04078117;;CZK;75.6;CZK;;;0.11;CZK;0.23;CZK;;;
Market buy;18.12.2023;GB0002634946;BA;BAE Systems;EOF7550053570;0.24663129;1070.5;GBX;3.51509513;;CZK;75.6;CZK;0.38;CZK;0.11;CZK;;;;;
Market buy;18.12.2023;NL0000235190;AIR;Airbus;EOF7550053769;0.0172021;139.18;EUR;0.0407799;;CZK;58.8;CZK;;;0.09;CZK;;;;;
Market buy;18.12.2023;CH0038863350;NESN;Nestle;EOF7550054021;0.01657;97.79;CHF;0.03864489;;CZK;41.99;CZK;;;0.06;CZK;;;;;
Market buy;18.12.2023;FR0000120644;BN;Danone;EOF7550054065;0.017665;57.91;EUR;0.04077242;;CZK;25.13;CZK;;;0.04;CZK;;;;;
Market buy;18.12.2023;US7475251036;QCOM;Qualcomm;EOF7550063279;0.0292874;142.72;USD;1;;USD;4.18;USD;;;;;;;;;
Market buy;18.12.2023;US0420682058;ARM;ARM;EOF7550064394;0.059375;70.4;USD;1;;USD;4.18;USD;;;;;;;;;
Market buy;18.12.2023;US64110L1061;NFLX;Netflix;EOF7550070079;0.003983;477;USD;1;;USD;1.9;USD;;;;;;;;;
Market buy;18.12.2023;US5398301094;LMT;Lockheed Martin;EOF7550072544;0.0077042;443.9;USD;1;;USD;3.42;USD;;;;;;;;;
Market buy;18.12.2023;US5949181045;MSFT;Microsoft;EOF7550082211;0.0061673;369.67;USD;1;;USD;2.28;USD;;;;;;;;;
Market buy;18.12.2023;US57636Q1040;MA;Mastercard;EOF7550086581;0.008129;420.7;USD;1;;USD;3.42;USD;;;;;;;;;
Market buy;18.12.2023;US62914V1061;NIO;NIO;EOF7550086945;0.26541;8.59;USD;1;;USD;2.28;USD;;;;;;;;;
Market buy;18.01.2024;GB0002634946;BA;BAE Systems;EOF8951957479;0.22128738;1177.5;GBX;3.46912381;;CZK;75.6;CZK;0.38;CZK;0.11;CZK;;;;;
Market buy;18.01.2024;NL0000235190;AIR;Airbus;EOF8951957518;0.0160721;147.74;EUR;0.04044442;;CZK;58.8;CZK;;;0.09;CZK;;;;;
Market buy;18.01.2024;GB00B63H8491;RR;Rolls-Royce;EOF8951957579;0.9784596;295.9;GBX;3.4690414;;CZK;84.01;CZK;0.42;CZK;0.13;CZK;;;;;
Market buy;18.01.2024;FR0000121329;HO;Thales;EOF8951957891;0.0225968;134.7;EUR;0.04044364;;CZK;75.6;CZK;;;0.11;CZK;0.23;CZK;;;
Market buy;18.01.2024;FR0000120644;BN;Danone;EOF8951958389;0.016605;61.1;EUR;0.04043704;;CZK;25.13;CZK;;;0.04;CZK;;;;;
Market buy;18.01.2024;US64104Y1064;NTOIY;Neste;EOF8951982516;0.102577;18;USD;0.04402446;;CZK;42;CZK;;;0.06;CZK;;;;;
Market buy;18.01.2024;US5949181045;MSFT;Microsoft;EOF9000201246;0.0056387;391.7;USD;0.04389266;;CZK;50.4;CZK;;;0.08;CZK;;;;;
Market buy;18.01.2024;US0420682058;ARM;ARM;EOF9000201249;0.056082;72.21;USD;0.04388946;;CZK;92.41;CZK;;;0.14;CZK;;;;;
Market buy;18.01.2024;US62914V1061;NIO;NIO;EOF9000201286;0.34296;6.44;USD;0.04389233;;CZK;50.4;CZK;;;0.08;CZK;;;;;
Market buy;18.01.2024;US7475251036;QCOM;Qualcomm;EOF9000201298;0.0280839;144.2;USD;0.04388965;;CZK;92.41;CZK;;;0.14;CZK;;;;;
Market buy;18.01.2024;US57636Q1040;MA;Mastercard;EOF9000201336;0.0076952;430.54;USD;0.04388781;;CZK;75.6;CZK;;;0.11;CZK;;;;;
Market buy;18.01.2024;US64110L1061;NFLX;Netflix;EOF9000201674;0.0037958;484.9;USD;0.0438861;;CZK;42;CZK;;;0.06;CZK;;;;;
Market buy;18.01.2024;US5398301094;LMT;Lockheed Martin;EOF9000202308;0.0072657;455.99;USD;0.04388775;;CZK;75.6;CZK;;;0.11;CZK;;;;;
Market sell;12.02.2024;NL0000235190;AIR;Airbus;EOF10200110773;0.0066528;149.14;EUR;0.03962454;1.73;CZK;25;CZK;;;0.04;CZK;;;;;
Market sell;12.02.2024;DE0006599905;MRK;Merck;EOF10200110781;0.0077418;152.95;EUR;0.03964205;2.61;CZK;29.83;CZK;;;0.04;CZK;;;;;
Market sell;12.02.2024;FR0000120644;BN;Danone;EOF10200110785;0.019814;60.87;EUR;0.03963451;1.66;CZK;30.38;CZK;;;0.05;CZK;;;;;
Market sell;12.02.2024;CH0012005267;NOVN;Novartis;EOF10200110791;0.01465;87.12;CHF;0.03736264;2.36;CZK;34.11;CZK;;;0.05;CZK;;;;;
Market sell;12.02.2024;US05606L1008;BYDDY;BYD;EOF10200118096;0.058824;47.03;USD;0.04271256;-7.92;CZK;64.67;CZK;;;0.1;CZK;;;;-1;-0.058824
Market sell;12.02.2024;US64104Y1064;NTOIY;Neste;EOF10200120598;0.082387;14.41;USD;0.04268956;-6.43;CZK;27.77;CZK;;;0.04;CZK;;;;;
Market sell;12.02.2024;US7475251036;QCOM;Qualcomm;EOF10200129120;0.0071125;150.34;USD;0.0427034;2.41;CZK;25;CZK;;;0.04;CZK;;;;;
Market sell;12.02.2024;US0420682058;ARM;ARM;EOF10200131871;0.0381309;120.01;USD;0.0427113;47.26;CZK;106.98;CZK;;;0.16;CZK;;;;;
Market sell;12.02.2024;US5949181045;MSFT;Microsoft;EOF10200133859;0.0025432;420.45;USD;0.04270321;3.32;CZK;25;CZK;;;0.04;CZK;;;;;
Market sell;12.02.2024;US64110L1061;NFLX;Netflix;EOF10200134796;0.0019117;559.34;USD;0.04270328;4.64;CZK;25;CZK;;;0.04;CZK;;;;;
Market sell;12.02.2024;US9311421039;WMT;Walmart;EOF10200143269;0.0092204;169.17;USD;0.04272295;4.71;CZK;36.46;CZK;;;0.05;CZK;;;;;
